entrez_id,mean_log2FC,n_probes
4626,8.863631444687503,2
4621,8.624024890833333,1
5320,6.528467569625001,1
4636,6.368076093895831,1
158763,5.804188594270833,1
5816,5.747369078249999,1
4969,5.123637347343751,2
6192,4.888430979333335,1
100506621,4.655324245687498,1
55228,4.523857415833334,1
7412,4.510172656312501,1
11211,4.505587062208335,1
131873,4.354210148406249,2
1134,4.285954608145833,2
5354,4.2764162540625,1
92346,4.241894149604168,1
83690,4.237504467041667,1
151887,4.206060423819444,3
25878,4.14624510891667,1
8406,4.141177771750001,1
1281,4.085713426432291,4
1278,4.084793115680555,3
3486,4.053117564697915,2
2326,4.029403330395834,1
10468,3.9347304584166665,3
9201,3.879544855463541,4
4232,3.840401133395833,1
718,3.788066867041668,1
7058,3.761502159875,1
51339,3.740231914437499,1
285313,3.711201008729166,2
1277,3.705317748979167,5
11075,3.646335833322918,2
1289,3.593792115388888,3
27190,3.5868248725,1
1513,3.5779753130208336,1
1290,3.5511909996562503,2
6273,3.548286539562499,1
9540,3.5157663263333347,1
91851,3.4646269548749986,1
55076,3.445641606708335,1
6039,3.445017020666666,1
3426,3.440532842812501,2
9890,3.4398942430624992,1
1647,3.4278971475625,1
7107,3.4204362753124995,1
81035,3.416027439625,1
80215,3.3890513146874985,1
23179,3.3851478542291678,1
51816,3.3824479946666663,1
715,3.3505273309374983,1
23136,3.343406718437501,3
219972,3.343093053614583,2
4608,3.342830117187501,1
929,3.338510917291665,1
10673,3.3136185112499996,2
81031,3.288548554500001,1
3587,3.282017111062499,1
767579,3.2786197535416663,1
6696,3.264655390822917,2
5325,3.2563222065277784,3
4837,3.2547517848472225,3
5738,3.241097977395833,2
4237,3.2328410605624995,1
55013,3.229619697895835,1
1462,3.226825690545833,5
56265,3.211906520187501,1
84617,3.1869842999166664,1
51338,3.1785008178194434,3
389136,3.1783273868437494,2
9235,3.1722872533333337,1
2123,3.167276073312499,1
2824,3.1632522243177084,4
2857,3.152167604104166,1
10875,3.131874274583333,2
827,3.127735343979167,3
115908,3.119659652479166,1
29760,3.118850727479167,1
9086,3.115854544427082,2
1439,3.114539667666667,1
2162,3.1006523746666668,1
727936,3.0997555169479165,2
10234,3.0896853208125004,2
4256,3.085489400520833,2
100507008,3.079600667187502,1
5118,3.075907684083334,1
3075,3.0728041331145826,2
23089,3.070653574510416,2
10964,3.066855698958334,1
56952,3.0644535250416665,1
23643,3.0490250145625,1
101929726,3.046202608020834,1
8284,3.032316436083333,1
83468,3.0282356502604157,2
58527,3.021696635479166,1
7305,3.0168163091250007,1
7805,3.0133598686770835,2
9370,2.995942917645833,1
7076,2.992055336166665,1
493869,2.98681230996875,2
9056,2.9804105957916667,1
2124,2.975935026208333,1
4360,2.9752416860833337,1
56122,2.9664383580416662,1
26157,2.9629601941249994,1
26022,2.9623685931249994,1
8287,2.9617175165729175,2
7139,2.960401608885418,2
5997,2.960401304208334,1
6424,2.953859007937501,2
6347,2.9445384797500003,1
22795,2.925826847875,1
4060,2.922355259302083,2
202,2.9204491895,1
57698,2.912083262187501,1
5627,2.9084849426874984,1
5641,2.9075553005416674,1
11130,2.9011431050625007,1
30812,2.9009668856875,1
51809,2.89638087903125,2
58475,2.8955961610972225,3
64231,2.890453961702381,7
9232,2.88027817975,1
1359,2.8614774310625,1
1436,2.858038800270834,1
3394,2.852083504125,1
283298,2.850841069979168,1
122786,2.8504923801979167,2
29108,2.8471853200208352,1
54829,2.8434350599479163,2
139886,2.8389483004166665,1
7070,2.8248274995,3
3912,2.8129289304166676,2
713,2.7995252156041666,1
