probe_id,gene_symbol,entrez_id
1007_s_at,DDR1 /// MIR4640,780.0
1053_at,RFC2,5982.0
117_at,HSPA6,3310.0
121_at,PAX8,7849.0
1255_g_at,GUCA1A,2978.0
1294_at,MIR5193 /// UBA7,7318.0
1316_at,THRA,7067.0
1320_at,PTPN21,11099.0
1405_i_at,CCL5,6352.0
1431_at,CYP2E1,1571.0
1438_at,EPHB3,2049.0
1487_at,ESRRA,2101.0
1494_f_at,CYP2A6,1548.0
1552256_a_at,SCARB1,949.0
1552257_a_at,TTLL12,23170.0
1552258_at,LINC00152 /// LOC101930489,112597.0
1552261_at,WFDC2,10406.0
1552263_at,MAPK1,5594.0
1552264_a_at,MAPK1,5594.0
1552266_at,ADAM32,203102.0
1552269_at,SPATA17,128153.0
1552271_at,PRR22,163154.0
1552272_a_at,PRR22,163154.0
1552274_at,PXK,54899.0
1552275_s_at,PXK,54899.0
1552276_a_at,VPS18,57617.0
1552277_a_at,MSANTD3,91283.0
1552278_a_at,SLC46A1,113235.0
1552279_a_at,SLC46A1,113235.0
1552280_at,TIMD4,91937.0
1552281_at,SLC39A5,283375.0
1552283_s_at,ZDHHC11 /// ZDHHC11B,79844.0
1552286_at,ATP6V1E2,90423.0
1552287_s_at,AFG3L1P,172.0
1552288_at,CILP2,148113.0
1552289_a_at,CILP2,148113.0
1552291_at,PIGX,54965.0
1552293_at,TMEM196,256130.0
1552295_a_at,SLC39A13,91252.0
1552296_at,BEST4,266675.0
1552299_at,AK9,221264.0
1552301_a_at,CORO6,84940.0
1552302_at,TMEM106A,113277.0
1552303_a_at,TMEM106A,113277.0
1552304_at,ALG10,84920.0
1552306_at,ALG10,84920.0
1552307_a_at,TTC39C,125488.0
1552309_a_at,NEXN,91624.0
1552310_at,C15orf40,123207.0
1552311_a_at,RAX2,84839.0
1552312_a_at,MFAP3,4238.0
1552314_a_at,EYA3,2140.0
1552315_at,GIMAP1,170575.0
1552316_a_at,GIMAP1,170575.0
1552318_at,GIMAP1,170575.0
1552319_a_at,KLK8,11202.0
1552320_a_at,CCDC65,85478.0
1552321_a_at,CCDC65,85478.0
1552322_at,FAM122C,159091.0
1552323_s_at,FAM122C,159091.0
1552325_at,CCDC11,220136.0
1552326_a_at,CCDC11,220136.0
1552327_at,ARMCX4,100131755.0
1552329_at,RBBP6,5930.0
1552330_at,CENPBD1,92806.0
1552332_at,TRIOBP,11078.0
1552334_at,TRIOBP,11078.0
1552335_at,CATSPER1,117144.0
1552337_s_at,HOXD4,3233.0
1552338_at,GSC,145258.0
1552340_at,SP7,121340.0
1552343_s_at,PDE7A,5150.0
1552344_s_at,CNOT7,29883.0
1552347_at,CRYZL1,9946.0
1552348_at,PRSS33,260429.0
1552349_a_at,PRSS33,260429.0
1552354_at,C19orf26,255057.0
1552355_s_at,C19orf26,255057.0
1552359_at,MCMDC2,157777.0
1552360_a_at,TIRAP,114609.0
1552362_a_at,LEAP2,116842.0
1552364_s_at,MSI2,124540.0
1552365_at,SCIN,85477.0
1552367_a_at,SCIN,85477.0
1552368_at,CTCFL,140690.0
1552370_at,C4orf33,132321.0
1552372_at,C4orf33,132321.0
1552373_s_at,C4orf33,132321.0
1552375_at,ZNF333,84449.0
1552377_s_at,TVP23C,201158.0
1552378_s_at,RDH10,157506.0
1552379_at,RDH10,157506.0
1552381_at,SRSF12,135295.0
1552383_at,FAM71A,149647.0
1552384_a_at,FAM71A,149647.0
1552386_at,GAPT,202309.0
1552388_at,FLJ30901 /// SCUBE1,80274.0
1552389_at,ERICH5,203111.0
1552390_a_at,ERICH5,203111.0
1552391_at,CCDC185,164127.0
1552393_at,ENTHD1,150350.0
1552394_a_at,ENTHD1,150350.0
1552395_at,TSSK3,81629.0
1552396_at,WFDC6,140870.0
1552398_a_at,CLEC12A,160364.0
1552399_a_at,BRF1,2972.0
1552400_a_at,C15orf27,123591.0
1552401_a_at,BACH1 /// GRIK1-AS2,571.0
1552402_at,CALML6,163688.0
1552405_at,NLRP5,126206.0
1552408_at,ODF4,146852.0
1552409_a_at,ODF4,146852.0
1552410_at,CLEC4F,165530.0
1552411_at,DEFB106A /// DEFB106B,245909.0
1552412_a_at,DEFB106A /// DEFB106B,245909.0
1552414_at,WFDC9,259240.0
1552415_a_at,WFDC9,259240.0
1552417_a_at,NEDD1,121441.0
1552418_at,TTLL10,254173.0
1552419_s_at,TTLL10,254173.0
1552421_a_at,CALR3,125972.0
1552422_at,C10orf25,220979.0
1552423_at,ETV3,2117.0
1552424_at,KLHL10,317719.0
1552425_a_at,KLHL10,317719.0
1552426_a_at,TM2D3,80213.0
1552427_at,ZNF485,220992.0
1552430_at,WDR17,116966.0
1552432_at,MFSD6L,162387.0
1552436_a_at,CDH23 /// LOC100653137,64072.0
1552438_a_at,ANKAR,150709.0
1552439_s_at,MEGF11,84465.0
1552440_at,GPR182,11318.0
1552445_a_at,ESX1,80712.0
1552448_a_at,C8orf12,83656.0
1552449_a_at,LOC653486 /// SCGB1C1,147199.0
1552450_a_at,DNAJC5G,285126.0
1552452_at,WDR88,126248.0
1552453_a_at,WDR88,126248.0
1552455_at,PRUNE2,158471.0
1552456_a_at,MBD3L2,125997.0
1552457_a_at,ADAMTSL1,92949.0
1552458_at,MBD3L1,85509.0
1552459_a_at,MBD3L1,85509.0
1552461_at,FAM46D,169966.0
1552463_at,SERPINB11,89778.0
1552466_x_at,LINC00161,118421.0
1552467_at,DSCR10,259234.0
1552468_a_at,DSCR10,259234.0
1552470_a_at,ABHD11,83451.0
1552472_a_at,ACAP2,23527.0
1552473_at,GAMT,2593.0
1552474_a_at,GAMT,2593.0
1552476_s_at,PLCD3,113026.0
1552477_a_at,IRF6,3664.0
1552478_a_at,IRF6,3664.0
1552480_s_at,PTPRC,5788.0
1552481_s_at,MAN1A2,10905.0
1552482_at,RAPH1,65059.0
1552484_at,SMCR8,140775.0
1552485_at,LACTB,114294.0
1552486_s_at,LACTB,114294.0
1552487_a_at,BNC1,646.0
1552489_s_at,MPP4,58538.0
1552490_at,LACE1,246269.0
1552491_at,IDI2,91734.0
1552493_s_at,CYP11B1,1584.0
1552494_at,TAF8,129685.0
1552496_a_at,COBL,23242.0
1552497_a_at,SLAMF6,114836.0
1552498_at,ZSCAN20,7579.0
1552499_a_at,ZSCAN20,7579.0
1552501_a_at,GPBAR1,151306.0
1552502_s_at,RHBDL2,54933.0
1552503_at,FRAS1,80144.0
1552504_a_at,BRSK1,84446.0
1552506_at,CRB2,286204.0
1552507_at,KCNE4,23704.0
1552508_at,KCNE4,23704.0
1552509_a_at,CD300LG,146894.0
1552510_at,SLC34A3,142680.0
1552511_a_at,CPA6,57094.0
1552514_at,WBP2NL,164684.0
1552515_at,HIPK1,204851.0
1552516_a_at,HIPK1,204851.0
1552518_s_at,MTBP,27085.0
1552519_at,ACVR1C,130399.0
1552520_at,TMEM74,157753.0
1552521_a_at,TMEM74,157753.0
1552522_at,TIGD4,201798.0
1552523_a_at,TIGD4,201798.0
1552524_at,ART5,116969.0
1552526_at,FAM71C,196472.0
1552528_at,C21orf67,84536.0
1552531_a_at,NLRP11,204801.0
1552532_a_at,ATP6V1C2,245973.0
1552535_at,CLDN19,149461.0
1552536_at,VTI1A,143187.0
1552538_a_at,KIF6,221458.0
1552540_s_at,IQCD,115811.0
1552541_at,TAGAP,117289.0
1552542_s_at,TAGAP,117289.0
1552543_a_at,STON2,85439.0
1552544_at,SERPINA12,145264.0
1552546_a_at,LETM2,137994.0
1552548_at,BSND,7809.0
1552549_a_at,BSND,7809.0
1552552_s_at,CLEC4C,170482.0
1552553_a_at,NLRC4,58484.0
1552554_a_at,NLRC4,58484.0
1552555_at,PRSS36,146547.0
1552557_a_at,ZDHHC15,158866.0
1552558_a_at,RAI1,10743.0
1552559_a_at,CDK15,65061.0
1552562_at,ZNF570,148268.0
1552563_a_at,AF131215.4,
1552564_at,NUDT9P1,119369.0
1552566_at,BTBD16,118663.0
1552568_at,RTP3,83597.0
1552569_a_at,RTP3,83597.0
1552570_at,TSPEAR,54084.0
1552572_a_at,MIPOL1,145282.0
1552573_s_at,MIPOL1,145282.0
1552575_a_at,C6orf141,135398.0
1552576_at,ALMS1P,200420.0
1552578_a_at,MYO3B,140469.0
1552579_a_at,ADAM21,8747.0
1552580_at,TRIML2,205860.0
1552582_at,ABCC13,150000.0
1552583_s_at,ABCC13,150000.0
1552584_at,IL12RB1,3594.0
1552585_s_at,GTF2A1L,11036.0
1552586_at,TRPV3,162514.0
1552587_at,CNBD1,168975.0
1552588_a_at,CNBD1,168975.0
1552590_a_at,ABCC12,94160.0
1552592_at,MMP21,118856.0
1552594_at,TMEM190,147744.0
1552596_at,GAS2L2,246176.0
1552598_at,KCNG4,93107.0
1552599_at,PXT1,222659.0
1552602_at,CACNG5,27091.0
1552604_at,LINC00308,54143.0
1552605_s_at,LINC00308,54143.0
1552607_at,FAM223A /// FAM223B,286967.0
1552608_at,WFDC11,259239.0
1552609_s_at,IFNL2 /// IFNL3,282616.0
1552610_a_at,JAK1,3716.0
1552611_a_at,JAK1,3716.0
1552612_at,CDC42SE2,56990.0
1552613_s_at,CDC42SE2,56990.0
1552615_at,ACACB,32.0
1552616_a_at,ACACB,32.0
1552617_a_at,RFWD2,64326.0
1552618_at,STX6,10228.0
1552619_a_at,ANLN,54443.0
1552620_at,SPRR4,163778.0
1552621_at,POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,5439.0
1552622_s_at,LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,5439.0
1552623_at,HSH2D,84941.0
1552625_a_at,TRNT1,51095.0
1552626_a_at,TMEM163,81615.0
1552627_a_at,ARHGAP5,394.0
1552628_a_at,HERPUD2,64224.0
1552629_a_at,JMJD6,23210.0
1552630_a_at,SRCAP,10847.0
1552631_a_at,MAP3K6,9064.0
1552632_a_at,ARSG,22901.0
1552633_at,ZNF101,94039.0
1552634_a_at,ZNF101,94039.0
1552637_at,PTPN11,5781.0
1552639_at,KLHDC7B,113730.0
1552641_s_at,ATAD3A /// ATAD3B,55210.0
1552643_at,ZNF626,199777.0
1552644_a_at,PHC3,80012.0
1552646_at,IL11RA,3590.0
1552648_a_at,TNFRSF10A,8797.0
1552649_a_at,RAD51L3-RFFL /// RFFL,117584.0
1552651_a_at,RAD51L3-RFFL /// RFFL,117584.0
1552652_at,HPS4,89781.0
1552656_s_at,UHMK1,127933.0
1552657_a_at,TXNDC2,84203.0
1552658_a_at,NAV3,89795.0
1552660_a_at,C5orf22,55322.0
1552661_at,PCDHGB7,56099.0
1552662_a_at,PCDHGB7,56099.0
1552663_a_at,ERC1,23085.0
1552664_at,FLCN,201163.0
1552665_at,JMJD1C-AS1,84989.0
1552666_a_at,LRRC7,57554.0
1552667_a_at,SH2D3C,10044.0
1552669_at,PPP1R3B,79660.0
1552670_a_at,PPP1R3B,79660.0
1552671_a_at,SLC9A7,84679.0
1552672_a_at,IGSF3,3321.0
1552673_at,RFX6,222546.0
1552674_at,DIRC1,116093.0
1552675_at,DNAJB7,150353.0
1552676_at,UCN3,114131.0
1552677_a_at,DIP2A,23181.0
1552678_a_at,USP28,57646.0
1552680_a_at,CASC5,57082.0
1552682_a_at,CASC5,57082.0
1552684_a_at,SENP8,123228.0
1552685_a_at,GRHL1,29841.0
1552686_at,CNBD2,140894.0
1552687_a_at,CNBD2,140894.0
1552689_at,CASKIN1,57524.0
1552690_a_at,CACNA2D4,93589.0
1552691_at,ARL11,115761.0
1552693_at,ARL11,115761.0
1552694_at,SLC2A13,114134.0
1552695_a_at,SLC2A13,114134.0
1552696_at,NIPA1,123606.0
1552698_at,TUBA3FP,113691.0
1552701_a_at,CARD16,114769.0
1552703_s_at,CARD16 /// CASP1,834.0
1552705_at,DUSP19,142679.0
1552708_a_at,DUSP19,142679.0
1552711_a_at,CYB5D1,124637.0
1552712_a_at,NMNAT2,23057.0
1552713_a_at,SLC4A1,6521.0
1552714_at,CREG2,200407.0
1552715_a_at,RXFP1,59350.0
