Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,muscle contraction (GO:0006936),17/129,1.7403500772513938e-06,0.005012208222484,0,0,4.41120056191917,58.49880219675404,GAMT;MYLK2;CHRNB1;PXN;LMOD1;SORBS1;CLCN1;CKMT2;SGCA;FXYD1;MYH11;DMD;TNNI3;ANKRD2;NOS1;EMD;SNTA1
GO_Biological_Process_2021,regulation of calcium ion transmembrane transporter activity (GO:1901019),7/29,4.05761518731409e-05,0.0492868513775052,0,0,9.15187643950684,92.54679519009338,YWHAE;JPH2;PLN;JSRP1;DMD;NOS1;JPH1
GO_Biological_Process_2021,negative regulation of peptidyl-serine phosphorylation (GO:0033137),6/21,5.2089475032051024e-05,0.0492868513775052,0,0,11.492261904761904,113.34298057709246,MLXIPL;DMTN;INPP5J;DMD;GPD1L;SMAD7
GO_Biological_Process_2021,2-oxoglutarate metabolic process (GO:0006103),5/14,6.845396024653507e-05,0.0492868513775052,0,0,15.942710912993231,152.88022137177617,GOT1;GPT2;GOT2;OGDH;DLST
GO_Biological_Process_2021,muscle organ development (GO:0007517),9/58,0.0001350757831178326,0.0545123289311056,0,0,5.291388304200604,47.14454787001515,TBX1;TAGLN;CTF1;SGCA;FHL3;DMD;ANKRD2;EMD;MAPK12
GO_Biological_Process_2021,peptidyl-cysteine modification (GO:0018198),4/9,0.00014394914782932353,0.0545123289311056,0,0,22.928189910979228,202.82392492803976,CHCHD4;NOS1;S100A9;S100A8
GO_Biological_Process_2021,positive regulation of lipid biosynthetic process (GO:0046889),7/35,0.00014649761551512104,0.0545123289311056,0,0,7.188524590163935,63.463899451233765,CTDNEP1;MLXIPL;FABP3;MID1IP1;NR1H2;CHP1;SORBS1
GO_Biological_Process_2021,regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314),6/25,0.00015142313591973803,0.0545123289311056,0,0,9.07095864661654,79.78300371945227,JPH2;JSRP1;GSTO1;DMD;NOS1;JPH1
GO_Biological_Process_2021,glucose metabolic process (GO:0006006),9/62,0.00022814025225588417,0.0715027841402465,0,0,4.891022929181826,41.01391720963744,PFKFB1;GOT1;KCNJ11;DCXR;GOT2;SLC37A4;SLC25A12;SLC25A11;FBP2
GO_Biological_Process_2021,regulation of membrane depolarization (GO:0003254),5/18,0.000261710380714462,0.0715027841402465,0,0,11.034975425762944,91.01947973812725,GPD1L;ABCD1;SCN1B;SMAD7;PTPN3
GO_Biological_Process_2021,regulation of sodium ion transmembrane transport (GO:1902305),6/28,0.0002953947433502422,0.0715027841402465,0,0,7.832792207792208,63.65865303280453,FXYD1;NOS1;GPD1L;SCN1B;SNTA1;PTPN3
GO_Biological_Process_2021,regulation of ion transmembrane transporter activity (GO:0032412),7/39,0.00029792826725102723,0.0715027841402465,0,0,6.288654992548435,51.05543799705382,YWHAE;NEDD4;FXYD1;PPIF;GPD1L;SCN1B;PTPN3
GO_Biological_Process_2021,aspartate family amino acid catabolic process (GO:0009068),5/19,0.00034532195140713786,0.0758119855960009,0,0,10.246232222458076,81.67305910135043,GOT1;GOT2;OGDH;DLST;CRYM
GO_Biological_Process_2021,peptidyl-cysteine S-nitrosylation (GO:0018119),3/5,0.0003685304855361157,0.0758119855960009,0,0,42.93333333333333,339.4303803961839,NOS1;S100A9;S100A8
GO_Biological_Process_2021,gluconeogenesis (GO:0006094),7/41,0.0004106609605146582,0.0788469044188143,0,0,5.918120452353818,46.147979948373205,PFKFB1;GOT1;GOT2;SLC37A4;SLC25A12;SLC25A11;FBP2
GO_Biological_Process_2021,regulation of peptidyl-serine phosphorylation (GO:0033135),11/98,0.0004831689793480554,0.0869704162826499,0,0,3.646194144307157,27.83921775129004,BCAR3;MLXIPL;PINK1;DMTN;INPP5J;DMD;NOS1;GPD1L;SMAD7;EIF4G1;VEGFA
GO_Biological_Process_2021,cardiac muscle cell action potential involved in contraction (GO:0086002),6/31,0.0005295014400044949,0.0887798648366001,0,0,6.891785714285715,51.98870016858771,PKP2;KCNA5;GPD1L;KCNJ2;SCN1B;SNTA1
GO_Biological_Process_2021,intracellular lipid transport (GO:0032365),5/21,0.0005712803088140865,0.0887798648366001,0,0,8.964524517087668,66.9437572410928,PRKAB2;FABP3;MID1IP1;ACACB;ABCD1
GO_Biological_Process_2021,hexose biosynthetic process (GO:0019319),7/44,0.0006410836621242924,0.0887798648366001,0,0,5.437426994804044,39.97786958108176,PFKFB1;GOT1;GOT2;SLC37A4;SLC25A12;SLC25A11;FBP2
GO_Biological_Process_2021,negative regulation of protein phosphorylation (GO:0001933),14/152,0.0006791166920363752,0.0887798648366001,0,0,2.931028461672778,21.381024865903505,DMTN;SMAD7;GREM1;MLXIPL;DBNDD1;DVL1;FKBP8;INPP5J;CHP1;PMEPA1;DMD;CEP85;GPD1L;EIF4G1
GO_Biological_Process_2021,positive regulation of cell growth (GO:0030307),11/102,0.0006801704069775815,0.0887798648366001,0,0,3.485196961958581,25.418124143026976,RNF157;LGI1;USP47;HYAL1;HPN;TWF2;MAPT;S100A9;FXN;S100A8;EIF4G1
GO_Biological_Process_2021,positive regulation of fatty acid biosynthetic process (GO:0045723),4/13,0.0007328542310076971,0.0887798648366001,0,0,12.735245631388064,91.93018236206764,MLXIPL;MID1IP1;NR1H2;ABCD1
GO_Biological_Process_2021,positive regulation of sodium ion transport (GO:0010765),4/13,0.0007328542310076971,0.0887798648366001,0,0,12.735245631388064,91.93018236206764,PKP2;GPD1L;NOS1;SCN1B
GO_Biological_Process_2021,muscle cell development (GO:0055001),6/33,0.0007519889451684698,0.0887798648366001,0,0,6.380621693121693,45.89446511076909,CHRNB1;NRAP;DMD;MYH11;ALPK3;VEGFA
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522),37/625,0.0007706585489288206,0.0887798648366001,0,0,1.8390641748118903,13.18289963345542,RNF10;CTF1;SRF;FAF1;HPN;MAZ;HBB;AGPAT1;ACACB;HOXC10;FXR2;IBSP;HYAL1;ERBB4;CXCR2;HSF1;LBP;LYAR;IL12RB2;TBX1;LGI1;USP47;INSR;IL34;PRKCA;RAD23A;DUSP26;VEGFA;GREM1;MLXIPL;GDNF;MAPT;S100A9;FXN;CRLF1;S100A8;EIF4G1
GO_Biological_Process_2021,blood vessel endothelial cell migration (GO:0043534),5/23,0.0008931164769134187,0.0989298251350248,0,0,7.967640746244015,55.9391607784301,GREM1;NR4A1;SOX18;SRF;VEGFA
GO_Biological_Process_2021,negative regulation of cold-induced thermogenesis (GO:0120163),7/47,0.0009637654291050204,0.1022467627689706,0,0,5.028837555886736,34.92358021536438,STK11;NR1H2;PLCL1;NPR3;ACOT11;HOXC10;MAP2K6
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),14/158,0.0009940657491427697,0.1022467627689706,0,0,2.8080237617135206,19.41385412012367,TBX1;SMAD3;DUSP3;TWF2;GDF2;SMAD7;VEGFA;NR4A1;IBSP;HYAL1;MAPKAPK2;NOS1;MAPT;EMD
GO_Biological_Process_2021,positive regulation of growth (GO:0045927),9/76,0.001052791147267,0.1045530518665241,0,0,3.866207081185998,26.507915843180218,LGI1;USP47;HYAL1;INSR;HPN;FXN;S100A9;S100A8;EIF4G1
GO_Biological_Process_2021,cardiac muscle cell development (GO:0055013),5/24,0.0010969752527949,0.1053096242683114,0,0,7.547900211151951,51.44043938166311,FHOD3;ALPK3;MYH11;MYLK3;VEGFA
GO_Biological_Process_2021,circulatory system development (GO:0072359),12/126,0.0012012200241792,0.1056762541134253,0,0,3.0358779832464045,20.41451119581141,TBX1;STK11;PDLIM2;SOX18;FLRT3;ERBB4;SRF;PKP2;RBM20;ALPK3;TNNI3;ZFPM1
