Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),65/300,9.720627571638904e-18,3.961155735442853e-14,0,0,4.047956771361027,158.56770211731174,SPARC;ECM2;COL16A1;ITGAM;COL14A1;ELN;COL12A1;ITGB2;FGF2;CTSS;LOXL1;ADAMTS5;ADAMTS2;CTSK;TIMP2;CYP1B1;TIMP1;ADAMTS9;POSTN;BGN;ADAM10;NPNT;DCN;VCAN;COL4A2;LOX;COL4A1;COL6A2;PXDN;COL21A1;COL6A3;CD47;LCP1;PPIB;CD44;DDR2;COL15A1;HTRA1;DPT;CAPG;ADAMTS12;NID1;NID2;THBS1;FBLN5;SERPINH1;SPP1;GPM6B;JAM2;JAM3;VCAM1;CMA1;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A3;COL5A2;MFAP2;TGFBI;FBN1
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),96/621,4.348410748193217e-15,8.859886899443679e-12,0,0,2.7004533302336395,89.30119925894691,IFITM3;CD86;CDKN1A;IFITM1;PLVAP;CXCL9;ITGAM;IFITM2;ITGB2;IFIT5;F13A1;SLA;IFIT1;FGF2;IFIT3;TNFSF13B;IFIT2;PYCARD;MYC;TMSB4X;CASP3;CASP1;MAP3K8;TIMP1;CCR5;JUNB;TRIM22;HLA-DPA1;ANXA1;FCER1G;RSAD2;SYK;RIPK2;HLA-B;HLA-C;FOS;HLA-A;MIF;OSMR;F3;MID1;HLA-E;HCK;IFI27;OAS1;TRAF5;KIT;FSCN1;IRF7;IRF8;LCP1;CD44;CSF1R;CEBPA;IFI6;TWIST1;CSF2RB;SAMHD1;HIF1A;RAP1B;SOCS2;SOCS3;UGCG;CCL8;CCL5;NDN;CCL2;FYN;NCAM1;CCL18;GBP2;CCR1;IL32;EGR1;IL33;HLA-DRB4;VCAM1;CCL21;IL10RA;MX2;MX1;FN1;ISG15;LILRB2;PSMB8;PSMB9;CXCL10;CD4;COL1A2;CXCL12;HLA-DPB1;HLA-DRA;PLP2;TRIM38;VIM;MYD88
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),49/216,1.6262804557799152e-14,2.0055480480479227e-11,0,0,4.255870703733598,135.12345148240138,SPARC;ECM2;COL16A1;ITGAM;COL14A1;ELN;ITGB2;FGF2;LOXL1;ADAMTS5;ADAMTS2;ADAMTS9;POSTN;BGN;NPNT;DCN;VCAN;COL4A2;LOX;COL4A1;COL6A2;PXDN;COL6A3;CD47;CD44;DDR2;COL15A1;ADAMTS12;NID1;NID2;THBS1;FBLN5;SPP1;JAM2;JAM3;VCAM1;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A3;COL5A2;MFAP2;TGFBI;FBN1
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),49/217,1.968636120783237e-14,2.0055480480479227e-11,0,0,4.230309561128527,133.50370626134338,SPARC;ECM2;COL16A1;ITGAM;COL14A1;ELN;ITGB2;FGF2;LOXL1;ADAMTS5;ADAMTS2;ADAMTS9;POSTN;BGN;NPNT;DCN;VCAN;COL4A2;LOX;COL4A1;COL6A2;PXDN;COL6A3;CD47;CD44;DDR2;COL15A1;ADAMTS12;NID1;NID2;THBS1;FBLN5;SPP1;JAM2;JAM3;VCAM1;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A3;COL5A2;MFAP2;TGFBI;FBN1
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),25/65,1.3482484555504516e-13,9.156854093946816e-11,0,0,8.959134615384615,265.502161597006,IFITM3;IFITM1;IFITM2;IFIT5;IFI6;IFIT1;SAMHD1;IFIT3;IFIT2;GBP2;EGR1;RSAD2;MX2;MX1;HLA-B;HLA-C;ISG15;HLA-A;PSMB8;HLA-E;IFI27;OAS1;IRF7;IRF8;MYD88
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),25/65,1.3482484555504516e-13,9.156854093946816e-11,0,0,8.959134615384615,265.502161597006,IFITM3;IFITM1;IFITM2;IFIT5;IFI6;IFIT1;SAMHD1;IFIT3;IFIT2;GBP2;EGR1;RSAD2;MX2;MX1;HLA-B;HLA-C;ISG15;HLA-A;PSMB8;HLA-E;IFI27;OAS1;IRF7;IRF8;MYD88
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),31/121,4.011468572837987e-11,2.1802718384063144e-08,0,0,4.947063369397218,118.42912835584497,AIF1;CCL8;CCL5;CASP1;CCL2;NCAM1;CCL18;GBP2;TRIM22;HLA-DPA1;GBP3;HLA-DRB4;VCAM1;CCL21;DAPK1;HLA-B;HLA-C;HLA-A;MID1;HLA-E;HCK;OAS1;IRF7;HLA-DPB1;HLA-DRA;IRF8;CD47;TRIM38;TLR4;CD44;TLR2
GO_Biological_Process_2021,inflammatory response (GO:0006954),45/230,4.2802882717179175e-11,2.1802718384063144e-08,0,0,3.5137246621621623,83.88812310769883,PTGFR;SERPINA3;CSF1R;CXCL9;TNFAIP6;C5AR1;ITGB2;LY75;CXCR4;FPR3;AIF1;THBS1;HRH1;CCL8;CCL5;C3AR1;BLNK;CCL2;CD14;CCR5;CCL18;CCR1;AOC3;ANXA1;PARP4;CCL21;RIPK2;FOS;LYZ;TLR1;TPST1;CXCL10;MFHAS1;KIT;AGTR1;CHI3L1;PTX3;SIGLEC1;TLR5;CDO1;FCGR2B;TLR4;SCG2;CD44;TLR2
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),71/482,1.683028663135299e-10,7.62037978030705e-08,0,0,2.516024633581299,56.62377844054336,CD86;CDKN1A;ITGAM;IFITM2;DOCK8;ITGB2;F13A1;SLA;IFIT1;FGF2;PYCARD;MYC;CASP3;CASP1;TIMP1;CCR5;JUNB;HLA-DPA1;ANXA1;MME;SYK;DAPK1;FOS;OSMR;NPNT;F3;HCK;OAS1;KIT;FSCN1;HCLS1;CHI3L1;IRF8;CD47;TLR4;TNFRSF21;TLR2;CSF1R;CEBPA;STK39;TWIST1;CXCR4;CSF2RB;ADAMTS12;HIF1A;AIF1;SOCS2;SOCS3;CCL8;IFI16;CCL5;NDN;CCL2;FYN;CCL18;GBP2;GBP3;CCR1;IL32;EGR1;VCAM1;CCL21;IL10RA;FN1;POU4F1;CXCL10;CD4;COL1A2;CXCL12;PLP2;VIM
GO_Biological_Process_2021,collagen fibril organization (GO:0030199),25/89,3.6999773416530327e-10,1.507740766723611e-07,0,0,5.592247596153846,121.44977269304285,COL15A1;COL16A1;COL14A1;COL12A1;DPT;LOXL1;ADAMTS2;SERPINH1;CYP1B1;LUM;COL1A1;COL3A1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A2;COL5A3;PXDN;COL5A2;COL21A1;COL6A3;PPIB;DDR2
